unidentifiable	x/nY/dEn/tI/fY/x/bxl
hens	hEnz
here's	hirz
hers	hRz
he's	hiz
hid	hId
hide	hYd
high	hY
hike	hYk
hill	hIl
hills	hIlz
hint	hInt
hip	hIp
hit	hIt
hits	hIts
ho	ho
hoe	ho
hog	hcg
hold	hold
hole	hol
holes	holz
home	hom
honk	hcGk
hood	hUd
hook	hUk
hooked	hUkt
hoops	hups
hoot	hut
hop	hap
hope	hop
hopes	hops
hopped	hapt
hops	haps
horn	hcrn
horns	hcrnz
horse	hcrs
hose	hoz
hosts	hosts
hot	hat
hound	hWnd
hour	W/R
hours	W/Rz
house	hWz
how'd	hWd
how's	hWz
huff	h^f
huffed	h^ft
hug	h^g
huge	hyuJ
hugged	h^gd
hugs	h^gz
hum	h^m
hung	h^G
hunt	h^nt
hurt	hRt
hurts	hRts
hush	h^S
hut	h^t
ice	Ys
i'd	Yd
if	If
i'll	Yl
ink	IGk
itch	IC
its	Its
i've	Yv
jack	J@k
jacks	J@ks
jake	Jek
jam	J@m
james	Jemz
jane	Jen
jar	Jar
jars	Jarz
jay	Je
jeans	Jinz
jeez	Jiz
jeff	JEf
jerk	JRk
jig	JIg
jill	JIl
job	Jab
joe	Jo
jog	Jag
john	Jan
join	JOn
joke	Jok
joy	JO
jug	J^g
juice	Jus
jump	J^mp
jumped	J^mpt
jumps	J^mps
june	Jun
junk	J^Gk
keep	kip
keeps	kips
kept	kEpt
key	ki
keys	kiz
kick	kIk
kicked	kIkt
kid	kId
kids	kIdz
kill	kIl
kim	kIm
kind	kYnd
kinds	kYndz
king	kIG
kings	kIGz
king's	kIGz
kiss	kIs
kissed	kIst
kit	kIt
kite	kYt
knee	ni
knees	niz
knew	nu
knob	nab
knock	nak
knocked	nakt
knot	nat
known	non
knows	noz
kool	kul
la	la
lake	lek
lamb	l@m
lambs	l@mz
lamp	l@mp
land	l@nd
lane	len
lap	l@p
large	larJ
last	l@st
late	let
laugh	l@f
lawn	lcn
lay	le
layed	led
leaf	lif
lean	lin
leap	lip
learn	lRn
learned	lRnd
least	list
leave	liv
leaves	livz
left	lEft
leg	lEg
legs	lEgz
less	lEs
lick	lIk
licked	lIkt
licks	lIks
lid	lId
lids	lIdz
lie	lY
life	lYf
lift	lIft
light	lYt
lights	lYts
light's	lYts
liked	lYkt
likes	lYks
lime	lYm
line	lYn
lint	lInt
lip	lIp
lips	lIps
list	lIst
live	lIv
lived	lIvd
lives	lIvz
liz	lIz
load	lod
loads	lodz
loaf	lof
lock	lak
locked	lakt
long	lcG
looked	lUkt
looks	lUks
loops	lups
loose	lus
lord	lcrd
lord's	lcrdz
lose	luz
lost	lcst
lot	lat
lots	lats
lot's	lats
loud	lWd
love	l^v
loved	l^vd
loves	l^vz
low	lo
lunch	l^nC
lynn	lIn
ma	ma
ma'am	m@m
mad	m@d
made	med
mag	m@g
mags	m@gz
maid	med
maids	medz
mail	mel
main	men
make	mek
makes	meks
man	m@n
march	marC
mark	mark
marks	marks
mashed	m@St
mat	m@t
match	m@C
matt	m@t
max	m@ks
may	me
meal	mil
mean	min
means	minz
meant	mEnt
meat	mit
meet	mit
meg	mEg
melt	mElt
men	mEn
mess	mEs
messed	mEst
met	mEt
mice	mYs
might	mYt
mike	mYk
milk	mIlk
mind	mYnd
mine	mYn
miss	mIs
missed	mIst
mix	mIks
mixed	mIkst
moat	mot
mode	mod
mom	mam
moms	mamz
mom's	mamz
month	m^nT
months	m^nTs
moo	mu
mood	mud
moon	mun
moose	mus
mop	map
most	most
mouse	mWs
mouth	mWT
move	muv
moved	muvd
moves	muvz
mow	mo
much	m^C
mud	m^d
mug	m^g
munch	m^nC
mush	m^S
must	m^st
nah	nR
nail	nel
nails	nelz
name	nem
named	nemd
nap	n@p
near	nir
neat	nit
neck	nEk
ned	nEd
need	nid
needs	nidz
neigh	ne
nest	nEst
nests	nEsts
net	nEt
new	nu
news	nuz
next	nEkst
nice	nYs
nick	nIk
night	nYt
nights	nYts
nine	nYn
ninth	nYnT
noise	nOz
none	n^n
nope	nop
nor	ncr
nose	noz
note	not
nurse	nRs
nut	n^t
nuts	n^ts
oats	ots
oil	Ol
old	old
once	w^ns
ones	w^nz
one's	w^nz
oops	ups
ouch	WC
ought	ct
ounce	Wns
ow	W
owl	Wl
owls	Wlz
own	on
pack	p@k
packed	p@kt
pad	p@d
page	peJ
pail	pel
pain	pen
paint	pent
pair	per
pan	p@n
pants	p@nts
park	park
part	part
parts	parts
pass	p@s
passed	p@st
past	p@st
pat	p@t
patch	p@C
path	p@T
pats	p@ts
paul	pcl
pause	pcz
pay	pe
pea	pi
peace	pis
peach	piC
pear	per
pearl	pRl
pears	perz
peas	piz
pee	pi
peek	pik
peep	pip
peg	pEg
pegs	pEgz
pen	pEn
pet	pEt
phil	fIl
phone	fon
phone's	fonz
pick	pIk
picked	pIkt
picks	pIks
picture	pIk/CR
pie	pY
piece	pis
pies	pYz
pig	pIg
pigs	pIgz
pile	pYl
pin	pIn
pinch	pInC
pinched	pInCt
pine	pYn
pink	pIGk
place	ples
plain	plen
plan	pl@n
plane	plen
plant	pl@nt
plants	pl@nts
plate	plet
played	pled
plays	plez
please	pliz
pleased	plizd
plop	plap
plug	pl^g
plugged	pl^gd
plum	pl^m
plums	pl^mz
plus	pl^s
pod	pad
point	pOnt
points	pOnts
poke	pok
poked	pokt
pond	pand
poo	pu
pooh	pu
pool	pul
poop	pup
poops	pups
poor	pUr
pop	pap
popped	papt
porch	porC
post	post
pot	pat
pots	pats
pouch	pWC
pounds	pWndz
pour	por
poured	pord
pow	pW
praise	prez
praised	prezd
pray	pre
prayer	prer
prayers	prerz
press	prEs
prince	prIns
pro	pro
proud	prWd
psalms	samz
puff	p^f
puffed	p^ft
pull	pUl
pulled	pUld
punch	p^nC
purr	pR
purse	pRs
push	pUS
pushed	pUSt
puts	pUts
quack	kw@k
queen	kwin
quick	kwIk
quilt	kwIlt
quit	kwIt
quite	kwYt
race	res
rag	r@g
rain	ren
rained	rend
rains	renz
ran	r@n
range	renJ
rash	r@S
ray	re
reach	riC
reached	riCt
read	rEd
reads	ridz
real	ril
red	rEd
rest	rEst
rice	rYs
rich	rIC
rick	rIk
rid	rId
ride	rYd
ring	rIG
rings	rIGz
rinse	rIns
rip	rIp
ripe	rYp
ripped	rIpt
road	rod
roar	ror
roast	rost
rock	rak
rocks	raks
roll	rol
rolled	rold
rolls	rolz
roof	rUf
room	rum
root	rUt
rope	rop
rose	roz
rough	r^f
round	rWnd
row	rW
roy	rO
rub	r^b
rude	rud
rug	r^g
rule	rul
run	r^n
runs	r^nz
rush	r^S
sad	s@d
safe	sef
said	sEd
sailed	seld
sale	sel
salt	sclt
sam	s@m
same	sem
sand	s@nd
sang	s@G
sat	s@t
sauce	scs
save	sev
saved	sevd
saw	sc
says	sEz
scale	skel
scare	sker
scared	skerd
scarf	skarf
school	skul
scoop	skup
scoot	skut
scraped	skrept
scratch	skr@C
scratched	skr@Ct
scream	skrim
screen	skrin
scrub	skr^b
sea	si
seal	sil
sean	Scn
searched	sRCt
seat	sit
seats	sits
seed	sid
seeds	sidz
seek	sik
seem	sim
seems	simz
seen	sin
sees	siz
self	sElf
send	sEnd
sense	sEns
sent	sEnt
serve	sRv
set	sEt
seuss	sus
sewed	sod
shade	Sed
shades	Sedz
shake	Sek
shakes	Seks
shall	S@l
shame	Sem
shape	Sep
shaped	Sept
shapes	Seps
share	Ser
sharp	Sarp
she	Si
she'd	Sid
sheep	Sip
sheet	Sit
sheets	Sits
shelf	SElf
shell	SEl
she'll	Sil
she's	Siz
shield	Sild
shift	SIft
shine	SYn
ship	SIp
shirt	SRt
shirts	SRts
shoe	Su
shoes	Suz
shook	SUk
shoot	Sut
short	Scrt
shorts	Scrts
should	SUd
shout	SWt
shove	S^v
show	So
shows	Soz
shred	rEd
shrimp	rImp
shut	S^t
shy	SY
sick	sIk
side	sYd
sides	sYdz
sight	sYt
sign	sYn
since	sIns
sing	sIG
sink	sIGk
sip	sIp
sir	sR
sit	sIt
sits	sIts
six	sIks
size	sYz
skates	skets
skies	skYz
skin	skIn
skip	skIp
skipped	skIpt
skirt	skRt
sky	skY
slam	sl@m
slash	sl@S
sleep	slip
sleeps	slips
sleeve	sliv
sleeves	slivz
slept	slEpt
slice	slYs
slick	slIk
slide	slYd
slink	slIGk
slip	slIp
slot	slat
slow	slo
smack	sm@k
small	smcl
smart	smart
smell	smEl
smells	smElz
smile	smYl
smoke	smok
smooth	smuD
smush	sm^S
snack	sn@k
snacks	sn@ks
snake	snek
snakes	sneks
snap	sn@p
snapped	sn@pt
snaps	sn@ps
snatch	sn@C
sneeze	sniz
sneezed	snizd
snip	snIp
snort	sncrt
snot	snat
snow	sno
snug	sn^g
soaked	sokt
soap	sop
sock	sak
socks	saks
soft	scft
soiled	sOld
sold	sold
son	s^n
song	scG
songs	scGz
soon	sun
sopped	sapt
sore	sor
sort	scrt
sorts	scrts
sound	sWnd
sounds	sWndz
soup	sup
soups	sups
sour	sW/R
space	spes
spank	sp@Gk
spare	sper
speak	spik
spend	spEnd
spice	spYs
spill	spIl
spilled	spIld
spin	spIn
spins	spInz
spit	spIt
spits	spIts
splash	spl@S
splashed	spl@St
splat	spl@t
spoiled	spOld
spoke	spok
sponge	sp^nJ
spoon	spun
spoons	spunz
spot	spat
spout	spWt
spray	spre
spread	sprEd
spring	sprIG
spud	sp^d
square	skwer
squash	skwaS
squeak	skwik
squeaks	skwiks
squeal	skwil
squealed	skwild
squeeze	skwiz
squirm	skwRm
squirrel	skw/Rrxl
squirrels	skwR/rxlz
squirt	skwRt
squish	skwIS
stack	st@k
stain	sten
stair	ster
stairs	sterz
stall	stcl
stamp	st@mp
stand	st@nd
stands	st@ndz
star	star
stars	starz
start	start
starts	starts
stay	ste
stayed	sted
stays	stez
steal	stil
steer	stir
stem	stEm
step	stEp
stepped	stEpt
steps	stEps
stew	stu
stick	stIk
sticks	stIks
still	stIl
sting	stIG
stink	stIGk
stinks	stIGks
stir	stR
stole	stol
stomp	stamp
stomped	stampt
stones	stonz
stood	stUd
stop	stap
stopped	stapt
stops	staps
store	stor
storm	stcrm
stout	stWt
stove	stov
straight	stret
strange	strenJ
strap	str@p
straw	strc
stream	strim
street	strit
strength	strEGkT
stressed	strEst
stretch	strEC
string	strIG
strings	strIGz
stroke	strok
stroll	strol
strong	strcG
strum	str^m
stuck	st^k
stuff	st^f
stuffed	st^ft
stung	st^G
style	stYl
such	s^C
suck	s^k
sucks	s^ks
suds	s^dz
suit	sut
sun	s^n
sun's	s^nz
sure	SUr
sweep	swip
sweet	swit
sweets	swits
swim	swIm
swing	swIG
swish	swIS
switch	swIC
swoosh	swUS
ta	ta
tab	t@b
tad	t@d
tag	t@g
tags	t@gz
tail	tel
tails	telz
takes	teks
talk	tck
talked	tckt
talks	tcks
tall	tcl
tank	t@Gk
tap	t@p
tape	tep
taste	test
tastes	tests
taught	tct
tea	ti
teach	tiC
team	tim
tear	tEr
tears	tErz
tee	ti
teeth	tiT
tell	tEl
tells	tElz
ten	tEn
tent	tEnt
test	tEst
thanks	T@Gks
thee	Di
then	DEn
these	Diz
they'd	Ded
they'll	Del
they're	Der
they've	Dev
thick	TIk
thin	TIn
thing	TIG
things	TIGz
thinks	TIGks
third	TRd
thorns	Tcrnz
though	Do
thought	Tct
thread	TrEd
three	Tri
threw	Tru
throat	Trot
throats	Trots
through	Tru
throw	Tro
thrown	Tron
throws	Troz
thumb	T^m
thumbs	T^mz
thy	DY
tic	tIk
tick	tIk
tie	tY
tied	tYd
tight	tYt
tilt	tIlt
tim	tIm
time	tYm
times	tYmz
tip	tIp
tire	tYr
tired	tYrd
toast	tost
tock	tak
toe	to
toes	toz
told	told
tom	tam
tom's	tamz
tongue	t^G
took	tUk
tool	tul
tools	tulz
tooth	tuT
top	tap
tore	tor
toss	tcs
touch	t^C
touched	t^Ct
tough	t^f
tow	to
towel	tWl
towels	tWlz
town	tWn
toy	tO
toys	tOz
track	tr@k
train	tren
trapped	tr@pt
trash	tr@S
tray	tre
treat	trit
treats	trits
tree	tri
trees	triz
trick	trIk
tricked	trIkt
tried	trYd
trim	trIm
trip	trIp
trough	trcf
trout	trWt
truck	tr^k
trucks	tr^ks
trust	tr^st
truth	truT
try	trY
tub	t^b
tuck	t^k
tug	t^g
tune	tun
turn	tRn
turned	tRnd
turns	tRnz
tweet	twit
twelve	twElv
twist	twIst
two	tu
twos	tuz
ty	tY
type	tYp
ugh	^g
uh	^
um	^m
use	yus
used	yuzd
van	v@n
vane	ven
vent	vEnt
view	yu
vine	vYn
voice	vOs
vole	vol
wag	w@g
wah	wa
wait	wet
wake	wek
walk	wck
walked	wckt
walks	wcks
wall	wcl
wand	wand
wants	w^nts
war	wcr
warm	wcrm
wash	wcS
washed	wcSt
waste	west
watch	waC
watched	waCt
wave	wev
waved	wevd
waves	wevz
way	we
ways	wez
weak	wik
wear	wer
wears	werz
web	wEb
webs	wEbz
wee	wi
weeds	widz
week	wik
weeks	wiks
weird	wird
we'll	wil
went	wEnt
were	wR
we're	wir
weren't	wRnt
wet	wEt
we've	wiv
whack	w@k
whale	wel
wham	w@m
what'd	w^/tId
wheat	wit
wheel	wil
wheels	wilz
when	wEn
where'd	werd
whew	wEw
which	wIC
while	wYl
whine	wYn
whip	wIp
white	wYt
who	hu
whoa	wo
whole	hol
whom	hum
whoops	wups
who's	huz
whose	huz
why	wY
wide	wYd
wife	wYf
wild	wYld
will	wIl
win	wIn
wind	wInd
wing	wIG
wings	wIGz
wipe	wYp
wiped	wYpt
wipes	wYps
wire	wYr
wires	wYrz
wish	wIS
witch	wIC
woke	wok
wolf	wUlf
won	w^n
won't	wont
wood	wUd
woods	wUdz
woof	wUf
wool	wUl
word	wRd
words	wRdz
wore	wor
work	wRk
worked	wRkt
works	wRks
world	wRld
worm	wRm
worn	worn
worse	wRs
would	wUd
wow	wW
wrap	r@p
wreath	riT
wreck	rEk
write	rYt
wrong	rcG
wrote	rot
ya	ya
yak	y@k
yams	y@mz
yard	yard
yawn	ycn
yay	ye
ye	yi
yea	ye
year	yir
years	yirz
yeh	yE
yell	yEl
yep	yEp
yet	yEt
york	ycrk
you	yu
you'd	yud
you'll	yul
young	y^G
yours	yUrz
you've	yuv
yuck	y^k
yum	y^m
yup	y^p
zip	zIp
zipped	zIpt
zoo	zu
zoom	zum
chill	CIl
flour	flW/R
flower	flW/R
alice	@/lIs
peekaboo	pi/kx/bu
doggie's	dc/giz
dada	d@/d@
lonesome	lon/sxm
alice's	@/li/sIz
shena	Si/nx
loren	lc/rxn
dolly's	dc/liz
wicked	wI/kxd
zipper's	zI/pRz
mommy's	ma/miz
kiddo	kI/do
hates	hets
sissy	sI/si
destruction	dE/str^k/Sxn
fishie	fI/Si
restrained	ri/strend
mouths	mWTs
kitty's	kI/tiz
flowers	flW/Rz
spanked	sp@N/kt
chomp	Camp
dapper	d@/pR
clobber	klc/bR
brain	bren
ginger's	gIn/ZRz
gigi	Zi/Zi
gigi's	Zi/Ziz
possibly	pa/sx/bli
amelia	x/mi/li/x
earphones	ir/fonz
sneakers	sni/kRz
